code_departement,nom_departement,nom_commune,code_commune,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,type_local,surface_terrain,population_2021,population_2015,pourcentage_chomage_2021,pourcentage_chomage_2020,pourcentage_taux_cambriolages,evolution_2016_2021,loyer_moyen,prix_moyen(m²),rendement_locatifs
11,Aude,Marseillette,11220,130500,73,3,Maison,529,377000,360000,10.4,10.4,5.9,-23.7,7.952717935,1787.67,5.34
11,Aude,Saissac,11367,129150,175,7,Maison,946,377000,360000,10.4,10.4,5.9,-23.7,6.860072163,738,11.15
11,Aude,Montazels,11240,138000,90,5,Maison,498,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,1533.33,5.31
11,Aude,Azille,11022,515000,322,5,Maison,1400,377000,360000,10.4,10.4,5.9,-23.7,7.952717935,1599.38,5.97
11,Aude,Azille,11022,515000,322,5,Maison,2060,377000,360000,10.4,10.4,5.9,-23.7,7.952717935,1599.38,5.97
11,Aude,Mazerolles-du-Razès,11228,934295,72,3,Appartement,225,377000,360000,10.4,10.4,5.9,-23.7,7.996174911,12976.32,0.74
11,Aude,Mazerolles-du-Razès,11228,934295,81,4,Appartement,225,377000,360000,10.4,10.4,5.9,-23.7,7.996174911,11534.51,0.83
11,Aude,Mazerolles-du-Razès,11228,934295,94,3,Appartement,654,377000,360000,10.4,10.4,5.9,-23.7,7.996174911,9939.31,0.97
11,Aude,Mazerolles-du-Razès,11228,934295,120,4,Maison,160,377000,360000,10.4,10.4,5.9,-23.7,6.679097169,7785.79,1.03
11,Aude,Campagne-sur-Aude,11063,140000,100,5,Maison,1044,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,1400,5.09
11,Aude,Belvianes-et-Cavirac,11035,41795,24,1,Maison,18,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,1741.46,4.09
11,Aude,Limoux,11206,77000,158,6,Maison,1221,377000,360000,10.4,10.4,5.9,-23.7,8.184292656,487.34,20.15
11,Aude,Limoux,11206,77000,158,6,Maison,3882,377000,360000,10.4,10.4,5.9,-23.7,8.184292656,487.34,20.15
11,Aude,Saint-Louis-et-Parahou,11352,85000,40,2,Maison,191,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,2125,3.83
11,Aude,Trèbes,11397,146267.75,114,4,Maison,68,377000,360000,10.4,10.4,5.9,-23.7,8.898551757,#VALEUR!,#VALEUR!
11,Aude,Belvianes-et-Cavirac,11035,84935,66,4,Maison,82,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,1286.89,5.53
11,Aude,Belvianes-et-Cavirac,11035,84935,47,3,Maison,82,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,1807.13,3.94
11,Aude,Montazels,11240,143060,82,3,Maison,683,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,1744.63,4.67
11,Aude,Saint-Denis,11339,63000,90,4,Maison,149,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,700,11.64
11,Aude,Lagrasse,11185,282000,215,5,Maison,564,377000,360000,10.4,10.4,5.9,-23.7,7.529897188,1311.63,6.89
11,Aude,Mouthoumet,11260,101000,77,1,Maison,634,377000,360000,10.4,10.4,5.9,-23.7,7.529897188,1311.69,6.89
11,Aude,Marquein,11218,175000,150,5,Maison,3200,377000,360000,10.4,10.4,5.9,-23.7,9.416173961,1166.67,9.69
11,Aude,Conques-sur-Orbiel,11099,350000,209,8,Maison,1000,377000,360000,10.4,10.4,5.9,-23.7,8.16317043,1674.64,5.85
11,Aude,Lafage,11184,116000,93,2,Maison,153,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,1247.31,7.38
11,Aude,Lafage,11184,116000,76,3,Maison,48,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,1526.32,6.03
11,Aude,Lafage,11184,116000,79,3,Maison,77,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,1468.35,6.27
11,Aude,Montréal,11254,500000,70,3,Maison,444,377000,360000,10.4,10.4,5.9,-23.7,8.298778358,7142.86,1.39
11,Aude,Montréal,11254,500000,99,4,Maison,444,377000,360000,10.4,10.4,5.9,-23.7,8.298778358,5050.51,1.97
11,Aude,Puilaurens,11302,54000,110,5,Maison,455,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,490.91,14.51
11,Aude,Palaja,11272,226000,111,5,Maison,777,377000,360000,10.4,10.4,5.9,-23.7,7.497535481,2036.04,4.42
11,Aude,Saissac,11367,113700,100,5,Maison,428,377000,360000,10.4,10.4,5.9,-23.7,6.860072163,1137,7.24
11,Aude,Espéraza,11129,230000,56,2,Appartement,306,377000,360000,10.4,10.4,5.9,-23.7,8.398101226,4107.14,2.45
11,Aude,Espéraza,11129,230000,115,4,Appartement,306,377000,360000,10.4,10.4,5.9,-23.7,8.398101226,2000,5.04
11,Aude,Saissac,11367,65200,70,3,Maison,410,377000,360000,10.4,10.4,5.9,-23.7,6.860072163,931.43,8.84
11,Aude,Belpech,11033,58000,60,1,Maison,703,377000,360000,10.4,10.4,5.9,-23.7,7.36516565,966.67,9.14
11,Aude,Lasbordes,11192,226700,123,4,Maison,740,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,1843.09,4.42
11,Aude,Lasbordes,11192,226700,36,2,Maison,7391,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,6297.22,1.29
11,Aude,Laurac,11196,185000,112,3,Maison,500,377000,360000,10.4,10.4,5.9,-23.7,6.679097169,1651.79,4.85
11,Aude,Montferrand,11243,222000,98,4,Maison,989,377000,360000,10.4,10.4,5.9,-23.7,7.732736972,2265.31,4.1
11,Aude,Antugnac,11010,250000,87,4,Maison,1870,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,2873.56,2.84
11,Aude,Antugnac,11010,250000,87,4,Maison,8540,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,2873.56,2.84
11,Aude,Puilaurens,11302,49000,72,5,Maison,35,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,680.56,10.46
11,Aude,Pennautier,11279,279600,120,4,Maison,808,377000,360000,10.4,10.4,5.9,-23.7,8.215598908,2330,4.23
11,Aude,Mas-Saintes-Puelles,11225,240000,180,5,Maison,75,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,1333.33,6.9
11,Aude,Bize-Minervois,11041,216200,95,4,Maison,610,377000,360000,10.4,10.4,5.9,-23.7,9.346636281,2275.79,4.93
11,Aude,Cuxac-Cabardès,11115,45000,95,3,Maison,68,377000,360000,10.4,10.4,5.9,-23.7,6.860072163,473.68,17.38
11,Aude,Nébias,11263,52670,75,4,Maison,45,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,702.27,10.14
11,Aude,Ferrals-les-Corbières,11140,301000,180,2,Maison,6048,377000,360000,10.4,10.4,5.9,-23.7,7.483194888,1672.22,5.37
11,Aude,Loupia,11207,70000,50,3,Maison,378,377000,360000,10.4,10.4,5.9,-23.7,7.811384819,1400,6.7
11,Aude,Villemoustaussou,11429,310000,128,4,Maison,765,377000,360000,10.4,10.4,5.9,-23.7,9.19671444,2421.88,4.56
11,Aude,Limoux,11206,297900,120,4,Maison,765,377000,360000,10.4,10.4,5.9,-23.7,8.184292656,2482.5,3.96
11,Aude,Saint-Michel-de-Lanès,11359,293330,103,3,Maison,2440,377000,360000,10.4,10.4,5.9,-23.7,9.416173961,2847.86,3.97
11,Aude,Puilaurens,11302,26000,74,2,Maison,36,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,351.35,20.27
11,Aude,Saint-André-de-Roquelongue,11332,345650,110,4,Maison,1775,377000,360000,10.4,10.4,5.9,-23.7,7.909323405,3142.27,3.02
11,Aude,Antugnac,11010,300000,70,1,Maison,1023,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,4285.71,1.9
11,Aude,Puivert,11303,110000,140,5,Maison,1000,377000,360000,10.4,10.4,5.9,-23.7,7.515249356,785.71,11.48
11,Aude,Puivert,11303,110000,140,5,Maison,3000,377000,360000,10.4,10.4,5.9,-23.7,7.515249356,785.71,11.48
11,Aude,Salles-sur-l'Hers,11371,199500,122,5,Maison,1710,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,1635.25,5.63
11,Aude,Roullens,11327,263950,106,4,Maison,1313,377000,360000,10.4,10.4,5.9,-23.7,7.811384819,2490.09,3.76
11,Aude,Roullens,11327,263950,106,4,Maison,2145,377000,360000,10.4,10.4,5.9,-23.7,7.811384819,2490.09,3.76
11,Aude,Laurabuc,11195,214100,145,5,Maison,665,377000,360000,10.4,10.4,5.9,-23.7,7.571762949,1476.55,6.15
